Date;Prix
2007-12-10;1561.8
2007-10-19;1500.6
2007-10-26;1535.2
2007-02-11;1509.6
2007-09-11;1453.7
2007-11-16;1458.7
2007-11-23;1440.7
2007-11-30;1481.1
2007-07-12;1504.6
2007-12-14;1467.9
2007-12-21;1484.4
2007-12-28;1478.4
2008-04-01;1411.6
2008-11-01;1401.0
2008-01-18;1325.1
2008-01-25;1330.6
2008-01-02;1395.4
2008-08-02;1331.2
2008-02-15;1350.0
2008-02-22;1353.1
2008-02-29;1330.6
2008-07-03;1293.3
2008-03-14;1288.1
2008-03-21;1329.5
2008-03-28;1315.2
2008-04-04;1370.4
2008-11-04;1332.8
2008-04-18;1390.3
2008-04-25;1397.8
2008-02-05;1413.9
2008-09-05;1388.2
2008-05-16;1425.3
2008-05-23;1375.9
2008-05-30;1400.3
2008-06-06;1360.6
2008-06-13;1360.0
2008-06-20;1317.9
2008-06-27;1278.3
2008-04-07;1262.9
2008-11-07;1239.4
2008-07-18;1260.6
2008-07-25;1257.7
2008-01-08;1260.3
2008-08-08;1296.3
2008-08-15;1298.2
2008-08-22;1292.2
2008-08-29;1282.8
2008-05-09;1242.3
2008-12-09;1251.7
2008-09-19;1255.0
2008-09-26;1213.0
2008-03-10;1099.2
2008-10-10;899.22
2008-10-17;940.55
2008-10-24;876.77
2008-10-31;968.75
2008-07-11;930.99
2008-11-14;873.29
2008-11-21;800.03
2008-11-28;896.24
2008-05-12;876.07
2008-12-12;879.73
2008-12-19;887.88
2008-12-26;872.8
2009-02-01;931.8
2009-09-01;890.35
2009-01-16;850.12
2009-01-23;831.95
2009-01-30;825.88
2009-06-02;868.6
2009-02-13;826.84
2009-02-20;770.05
2009-02-27;735.09
2009-06-03;683.38
2009-03-13;756.55
2009-03-20;768.54
2009-03-27;815.94
2009-03-04;842.5
2009-10-04;856.56
2009-04-17;869.6
2009-04-24;866.23
2009-01-05;877.52
2009-08-05;929.23
2009-05-15;882.88
2009-05-22;887.0
2009-05-29;919.14
2009-05-06;940.09
2009-12-06;946.21
2009-06-19;921.23
2009-06-26;918.9
2009-03-07;896.42
2009-10-07;879.13
2009-07-17;940.38
2009-07-24;979.26
2009-07-31;987.48
2009-07-08;1010.4
